Position,Artist Name,Song Name,Top 10 (xTimes),Peak Position,Peak Position (xTimes),Peak Streams,Total Streams,weeks_on_chart,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,tempo,time_signature,duration_ms,,,
554,Nicki Minaj ,Super Freaky Girl,66,2,12,1573025,96391022,1,0.95,0.891,2,-2.653,1,0.241,0.0645,0.0000177,0.309,133.01,4,170977,,,
565,Future ,PUFFIN ON ZOOTIEZ,7,4,0,1417345,94325787,5,0.883,0.657,8,-5.748,1,0.305,0.0603,0,0.128,124.992,4,172933,,,
572,Bad Bunny ,Después de la Playa,8,3,2,2158520,93328473,14,0.564,0.903,5,-3.221,1,0.307,0.356,0,0.175,78.293,4,230400,,,
587,"Tyler, The Creator ",NEW MAGIC WAND,1,5,0,1537094,91144161,3,0.621,0.73,5,-5.414,0,0.107,0.0967,0.000131,0.673,139.566,4,195320,,,
602,Luke Combs ,The Kind of Love We Make,1,9,0,972167,88164187,1,0.608,0.745,1,-4.13,1,0.0277,0.0226,0.00000647,0.0942,102.025,4,224427,,,
610,Dove Cameron ,Boyfriend,2,10,0,610722,86719217,6,0.345,0.612,7,-6.543,0,0.0608,0.232,0,0.194,179.773,3,153000,,,
620,SZA ,I Hate U,13,1,6,1615102,85718549,7,0.535,0.388,7,-9.805,0,0.155,0.507,0,0.11,106.703,5,174000,,,
675,Jessica Darrow ,Surface Pressure,60,3,1,1003606,78691499,3,0.65,0.584,2,-8.286,1,0.307,0.0174,0.00000154,0.042,180.088,4,202227,,,
680,Kanye West ,Praise God,5,6,0,2438681,78568531,19,0.798,0.545,1,-6.466,1,0.168,0.00904,0.0000948,0.258,118.029,4,226653,,,
753,Beyoncé ,CUFF IT,2,6,0,1388259,70035649,2,0.78,0.689,7,-5.668,1,0.141,0.0368,0.00000969,0.0698,115.042,4,225389,,,
764,Kendrick Lamar ,N95,7,1,6,4972590,69261483,3,0.79,0.67,1,-5.527,1,0.105,0.377,0.00000232,0.119,139.956,4,195950,,,
832,BTS ,Butter,1,10,0,1917442,63425107,44,0.759,0.459,8,-5.187,1,0.0948,0.00323,0,0.0906,109.997,4,164442,,,
867,Harry Styles ,Matilda,14,3,4,2881699,60459436,12,0.507,0.294,2,-10,1,0.04,0.896,0.0000197,0.0966,114.199,4,245964,,,
869,Bad Bunny ,Un Ratito,3,9,0,1731264,60425066,14,0.787,0.546,0,-7.094,0,0.0532,0.305,0.0000455,0.122,93.05,4,176936,,,
877,Charlie Puth ,Light Switch,2,6,0,859606,59716970,9,0.69,0.626,6,-5.693,1,0.306,0.105,0.000335,0.0881,184.009,4,185681,,,
889,Beyoncé ,BREAK MY SOUL,15,2,2,1990829,58766150,8,0.693,0.887,1,-5.039,0,0.0795,0.0581,0.00000271,0.27,114.942,4,278282,,,
912,Harry Styles ,Music For a Sushi Restaurant,14,3,3,3399921,57916775,12,0.72,0.715,11,-4.652,1,0.04,0.258,0.0568,0.107,107.041,4,193813,,,
921,Harry Styles ,Golden,1,6,0,1403497,57121273,34,0.448,0.838,4,-5.257,0,0.0557,0.21,0.000131,0.131,139.863,4,208907,,,
960,Tate McRae ,she's all i wanna be,1,10,0,716119,54992060,7,0.614,0.644,2,-5.372,0,0.0426,0.0134,0.00000707,0.117,160.036,4,206772,,,
965,Taylor Swift ,august,7,6,0,2840040,54625767,7,0.532,0.623,5,-9.208,1,0.0331,0.538,0.0000728,0.0925,89.937,4,261923,,,
987,Jack Harlow ,Nail Tech,23,2,2,1135997,52488297,5,0.677,0.557,1,-8.409,1,0.0694,0.00508,0.00000836,0.0984,150.127,4,206385,,,
1001,Harry Styles ,Daylight,13,5,0,2833429,51560617,2,0.686,0.445,0,-7.189,1,0.0398,0.484,0.00144,0.175,145.5,3,164533,,,
1015,The Weeknd ,Take My Breath,10,3,1,1723476,50769835,2,0.698,0.769,8,-7.154,1,0.0368,0.0128,0.00166,0.238,121.02,4,339023,,,
1022,Lauren Spencer Smith ,Fingers Crossed,8,2,1,1182298,50353213,11,0.56,0.473,5,-7.23,1,0.0533,0.618,0,0.31,109.414,4,175345,,,
1138,Adele ,Oh My God,7,2,2,2315914,44008064,18,0.534,0.725,1,-3.906,1,0.046,0.091,0,0.0264,88.098,4,225149,,,
1163,Brent Faiyaz ,ALL MINE,1,7,0,983422,42901101,1,0.617,0.378,9,-8.54,1,0.0315,0.428,0.0000916,0.11,141.967,4,216063,,,
1180,Harry Styles ,Satellite,6,8,0,2309793,42239560,2,0.576,0.457,0,-6.473,1,0.0304,0.143,0.0000305,0.0917,138.984,4,218577,,,
1274,Drake ,Sticky,6,4,0,2729748,38564856,5,0.853,0.495,6,-14.63,1,0.14,0.0917,0.000217,0.0844,137.027,4,243228,,,
1291,Metallica ,Master Of Puppets,10,6,0,898009,38117862,6,0.543,0.836,4,-9.11,0,0.0353,0.000647,0.431,0.153,105.173,4,515387,,,
1368,Harry Styles ,Little Freak,8,5,0,2785290,35042124,2,0.559,0.535,3,-7.723,1,0.039,0.719,0.000143,0.0954,141.96,4,202183,,,
1404,Jack Harlow ,Dua Lipa,3,7,0,1762710,33818973,4,0.833,0.652,11,-6.942,1,0.0762,0.00161,0.0985,0.106,158.022,4,135053,,,
1418,Billie Eilish ,TV,1,8,0,869763,33410882,3,0.412,0.236,4,-15.159,0,0.0379,0.83,0.00653,0.147,140.214,4,281381,,,
1439,The Kid LAROI ,Thousand Miles,7,3,1,950356,32849517,6,0.376,0.657,7,-4.658,1,0.0768,0.0858,0,0.0884,80.565,4,164782,,,
1441,Harry Styles ,Grapejuice,8,4,0,3003406,32762005,2,0.645,0.721,5,-4.394,1,0.0336,0.357,0.143,0.204,182.928,4,191959,,,
1531,Morgan Wallen ,Don't Think Jesus,8,3,3,1448125,29980127,1,0.578,0.431,2,-7.034,1,0.0269,0.469,0,0.137,116.979,3,226975,,,
1534,The Weeknd ,Sacrifice,12,1,2,1950078,29954189,11,0.735,0.795,11,-6.523,0,0.113,0.0296,0.0000318,0.0678,122,4,188918,,,
1573,Lil Baby ,Right On,1,6,0,740715,29180138,1,0.535,0.618,2,-5.668,1,0.382,0.0245,0,0.103,165.991,4,213976,,,
1609,Juice WRLD ,Cigarettes,8,2,2,1182490,28338245,1,0.597,0.615,2,-6.346,1,0.0421,0.0303,0,0.378,160.014,4,227527,,,
1614,Harry Styles ,Keep Driving,5,9,0,2312194,28086134,2,0.721,0.479,9,-9.669,1,0.226,0.321,0.00156,0.182,164.948,3,140242,,,
1620,Kendrick Lamar ,Rich Spirit,4,6,0,3239784,27912896,3,0.852,0.421,10,-9.153,0,0.208,0.428,0.00000228,0.106,95.977,4,202285,,,
1716,Harry Styles ,Cinema,6,8,0,2518332,25457307,2,0.829,0.644,9,-7.696,0,0.0427,0.354,0.0511,0.0944,105.993,4,243508,,,
1748,Harry Styles ,Daydreaming,2,9,0,2381025,24763267,2,0.707,0.811,4,-5.298,0,0.0304,0.311,0.0152,0.131,113.971,4,187342,,,
1802,Drake ,Massive,3,8,0,2163276,23891905,8,0.499,0.671,4,-6.774,0,0.0561,0.114,0.0169,0.148,124.994,3,336924,,,
1881,Taylor Swift ,Enchanted,2,8,0,784239,22145991,10,0.535,0.618,8,-3.913,1,0.0273,0.0716,0.000388,0.169,81.975,4,352200,,,
1892,Beyoncé ,ALIEN SUPERSTAR,6,4,0,1442367,21934628,2,0.545,0.641,10,-6.398,0,0.0998,0.00453,0.0000659,0.171,121.892,4,215460,,,
1978,Kendrick Lamar ,United In Grief,5,2,1,4547415,20593251,3,0.529,0.845,8,-8.142,1,0.404,0.244,0,0.143,85.63,3,255378,,,
1993,BTS ,Permission to Dance,1,6,0,1033060,20309040,26,0.702,0.741,9,-5.33,1,0.0427,0.00544,0,0.337,124.925,4,187585,,,
2024,Lil Tjay ,In My Head,4,3,1,843328,19701989,1,0.684,0.545,1,-6.885,1,0.121,0.159,0,0.102,143.049,4,135264,,,
2060,The Weeknd ,Out of Time,6,4,0,1529269,19142162,2,0.65,0.76,0,-4.422,0,0.0446,0.255,0,0.339,93.057,4,214194,,,
2156,The Weeknd ,Is There Someone Else?,6,3,1,1511028,17569511,2,0.702,0.586,9,-7.83,0,0.0313,0.0388,0.0000727,0.156,134.951,4,199111,,,
2273,Kendrick Lamar ,Count Me Out,4,9,0,2825217,15913311,2,0.776,0.431,4,-7.544,0,0.091,0.671,0,0.153,133.999,4,283642,,,
2321,Yahritza Y Su Esencia ,Soy El Unico,5,4,0,687505,15287635,1,0.708,0.449,4,-4.369,0,0.0286,0.451,0,0.111,84.396,1,214000,,,
2493,Shawn Mendes ,When You're Gone,3,3,1,860263,13466685,9,0.603,0.691,5,-5.805,1,0.0372,0.0248,0,0.583,147.148,4,172267,,,
2560,Drake ,Falling Back,5,1,1,3659656,12737515,1,0.718,0.758,10,-8.29,1,0.0703,0.238,0.00653,0.11,118.989,4,266179,,,
2592,The Weeknd ,Gasoline,4,2,1,1841998,12486527,2,0.728,0.741,6,-7.075,0,0.0473,0.000582,0.00206,0.33,123.006,4,212166,,,
2606,Kendrick Lamar ,Worldwide Steppers,2,4,0,3682729,12283698,1,0.514,0.472,8,-11.106,0,0.368,0.753,0.00012,0.0746,77.215,3,203367,,,
2734,Future ,712PM,5,4,0,1618757,11128834,1,0.711,0.686,5,-6.409,0,0.271,0.0355,0,0.124,146.971,4,173187,,,
2847,The Weeknd ,How Do I Make You Love Me?,4,4,0,1735277,10150923,2,0.805,0.498,7,-7.927,0,0.0737,0.0203,0.0000237,0.085,121.006,4,214215,,,
2882,Kendrick Lamar ,The Heart Part 5,4,1,2,2485132,9913441,2,0.7,0.812,1,-8.128,0,0.297,0.183,0,0.0756,97.405,4,332229,,,
2895,Post Malone ,Wrapped Around Your Finger,2,7,0,1239293,9827103,1,0.744,0.628,2,-5.435,1,0.0287,0.0493,0,0.317,119.966,4,193565,,,
2929,Beyoncé ,CHURCH GIRL,1,7,0,1340818,9623001,1,0.792,0.919,2,-5.688,1,0.276,0.0381,0.0000051,0.368,92.028,4,224473,,,
2947,Drake ,Texts Go Green,2,3,1,2922045,9486893,1,0.765,0.627,0,-4.607,1,0.0622,0.000916,0.195,0.0847,118.997,4,308820,,,
3067,Beyoncé ,I'M THAT GIRL,2,1,1,1660113,8688324,1,0.554,0.535,5,-8.959,0,0.186,0.0616,0.0000132,0.124,105.865,4,208014,,,
3104,Drake ,A Keeper,2,7,0,2421095,8452277,1,0.6,0.482,1,-11.596,1,0.0701,0.512,0.000104,0.115,121.909,4,173097,,,
3135,Juice WRLD ,Sometimes,4,2,1,762342,8259204,1,0.674,0.58,8,-4.866,1,0.0311,0.0609,0,0.159,121.987,4,259672,,,
3212,The Weeknd ,Best Friends,2,9,0,1336838,7796076,2,0.737,0.564,4,-7.045,0,0.105,0.436,0,0.351,90,4,163504,,,
3228,Beyoncé ,COZY,1,5,0,1400754,7725012,1,0.556,0.63,7,-8.15,1,0.102,0.000828,0.00468,0.155,149.147,5,210372,,,
3240,Drake ,Calling My Name,1,9,0,2251224,7595404,1,0.826,0.276,11,-11.227,0,0.266,0.62,0.0000853,0.118,123.985,4,129965,,,
3261,BTS ,Yet To Come,1,10,0,1015568,7462911,8,0.559,0.885,1,-4.515,1,0.189,0.0432,0,0.333,172.029,4,193594,,,
3294,Drake ,Currents,1,8,0,2394029,7299627,1,0.883,0.283,0,-12.653,1,0.113,0.104,0.00167,0.0935,122.013,4,157390,,,
3313,Post Malone ,Lemon Tree,1,8,0,1212399,7226217,1,0.611,0.584,11,-6.897,0,0.0301,0.083,0,0.432,116.106,4,243486,,,
3537,Future ,I'M DAT N****,4,5,0,1468597,6106715,1,0.911,0.573,2,-5.573,1,0.163,0.0112,0.0000583,0.131,144.026,4,271840,,,
3548,Post Malone ,Reputation,1,5,0,1337319,6034820,1,0.314,0.439,2,-5.726,1,0.0311,0.671,0,0.181,180.119,4,248178,,,
3593,The Weeknd ,Dawn FM,1,3,1,1749943,5795533,1,0.28,0.478,9,-8.755,0,0.037,0.674,0.0000585,0.483,111.65,4,96240,,,
3722,Taylor Swift ,This Love (Taylor’s Version),1,8,0,1762459,5281749,2,0.47,0.494,4,-8.672,1,0.0349,0.302,0,0.0672,144.039,4,250100,,,
3816,Drake ,Intro,1,5,0,2633372,4975568,1,0.193,0.0218,0,-31.16,0,0.0389,0.955,0.88,0.117,125.501,3,36935,,,
3934,Brent Faiyaz ,LOOSE CHANGE,1,6,0,1032493,4524729,1,0.574,0.369,1,-8.931,0,0.0814,0.753,0,0.147,84.975,4,226011,,,
4273,Future ,GOLD STACKS,1,10,0,1029158,3546639,1,0.763,0.526,5,-6.753,0,0.355,0.00937,0.00000225,0.111,181.856,4,162333,,,
