,Position,Artist Name,Song Name,Top 10 (xTimes),Peak Position,Peak Position (xTimes),Peak Streams,Total Streams,weeks_on_chart,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,tempo,time_signature,duration_ms
19,52,Harry Styles ,As It Was,203.0,1,40,5953134,348668080,19,0.52,0.731,6,-5.338,0,0.0557,0.342,0.00101,0.311,173.93,4,167303
20,53,Ed Sheeran ,Shape of You,96.0,1,48,2156546,348283656,269,0.825,0.652,1,-3.183,0,0.0802,0.581,0.0,0.0931,95.977,4,233713
23,75,Olivia Rodrigo ,deja vu,106.0,2,20,2794828,304638969,51,0.442,0.612,2,-7.222,1,0.112,0.584,5.7e-06,0.37,180.917,4,215507
24,76,Polo G ,RAPSTAR,84.0,1,22,2691084,299470033,40,0.789,0.536,6,-6.862,1,0.242,0.41,0.0,0.129,81.039,4,165926
25,86,Lil Nas X ,MONTERO (Call Me By Your Name),123.0,1,11,2378862,288187067,52,0.593,0.503,8,-6.725,0,0.22,0.293,0.0,0.405,178.781,4,137704
26,91,Dua Lipa ,Don't Start Now,47.0,4,0,1220899,284754771,125,0.793,0.793,11,-4.521,0,0.083,0.0123,0.0,0.0951,123.95,4,183290
27,104,Olivia Rodrigo ,traitor,56.0,3,15,2709147,271379624,44,0.38,0.339,3,-7.885,1,0.0338,0.691,0.0,0.12,100.607,4,229227
28,111,Harry Styles ,Adore You,18.0,1,1,1809594,264055553,104,0.676,0.771,8,-3.675,1,0.0483,0.0237,7e-06,0.102,99.048,4,207133
29,112,Imagine Dragons ,Believer,5.0,9,0,898836,263375966,268,0.776,0.78,10,-4.374,0,0.128,0.0622,0.0,0.081,124.949,4,204347
30,123,Tones And I ,Dance Monkey,23.0,6,0,1022885,256274759,140,0.824,0.587,6,-6.401,0,0.0937,0.69,0.000105,0.149,98.029,4,209438
32,135,The Weeknd ,Save Your Tears,49.0,2,4,1465508,242055670,68,0.68,0.826,0,-5.487,1,0.0309,0.0212,1.24e-05,0.543,118.051,4,215627
33,373,The Weeknd ,Save Your Tears,8.0,2,1,1723905,134482363,68,0.68,0.826,0,-5.487,1,0.0309,0.0212,1.24e-05,0.543,118.051,4,215627
34,137,The Weeknd ,Die For You,1.0,10,0,820834,240869086,26,0.586,0.525,1,-7.163,0,0.0615,0.111,0.0,0.134,133.629,4,260253
35,140,Steve Lacy ,Bad Habit,136.0,1,66,1691327,239087671,5,0.686,0.494,1,-7.093,1,0.0355,0.613,5.8e-05,0.402,168.946,4,232067
37,155,Doja Cat ,Woman,26.0,7,0,864796,232370353,37,0.824,0.764,5,-4.175,0,0.0854,0.0888,0.00294,0.117,107.998,4,172627
39,166,Conan Gray ,Heather,13.0,8,0,888848,222474626,87,0.357,0.425,5,-7.301,1,0.0333,0.584,0.0,0.322,102.078,3,198040
41,177,Bad Bunny ,Tití Me Preguntó,151.0,3,11,1885979,207857104,14,0.65,0.715,5,-5.198,0,0.253,0.0993,0.000291,0.126,106.672,4,243717
42,181,Billie Eilish ,Happier Than Ever,30.0,3,12,1688659,207031225,34,0.332,0.225,0,-8.697,1,0.0348,0.767,0.00349,0.128,81.055,3,298899
43,199,Justin Bieber ,Love Yourself,138.0,1,24,1333001,198773307,50,0.609,0.378,4,-9.828,1,0.438,0.835,0.0,0.28,100.418,4,233720
44,206,Doja Cat ,Streets,57.0,3,12,1024708,195884808,45,0.749,0.463,11,-8.433,1,0.0842,0.21,0.0382,0.338,90.035,4,226987
45,208,Jack Harlow ,First Class,77.0,1,11,5962326,195314542,18,0.902,0.582,5,-5.902,0,0.109,0.111,3.18e-06,0.111,107.005,4,173948
